customer_id,signup_date,country
1,2023-04-13,Germany
2,2023-12-15,UK
3,2023-03-13,India
4,2023-01-21,Canada
5,2023-08-03,UK
6,2023-03-29,India
7,2023-04-10,UK
8,2023-05-30,India
9,2023-09-15,Germany
10,2023-10-21,Canada
11,2023-07-11,Germany
12,2023-10-04,USA
13,2023-11-10,India
14,2023-08-24,USA
15,2023-02-18,UK
16,2023-02-28,Canada
17,2023-07-07,UK
18,2023-12-30,Germany
19,2023-11-16,USA
20,2023-05-11,India
21,2023-11-03,India
22,2023-11-25,Canada
23,2023-03-30,Germany
24,2023-01-14,Canada
25,2023-09-22,Canada
26,2023-02-22,Canada
27,2023-12-06,Germany
28,2023-09-21,UK
29,2023-07-25,USA
30,2023-02-19,Germany
31,2023-01-02,Canada
32,2023-09-17,India
33,2023-07-10,Canada
34,2023-08-06,Germany
35,2023-06-11,Canada
36,2023-09-27,Germany
37,2023-07-09,India
38,2023-07-27,India
39,2023-12-04,India
40,2023-10-07,Canada
41,2023-08-05,Germany
42,2023-07-07,Germany
43,2023-02-10,India
44,2023-01-15,India
45,2023-03-06,USA
46,2023-11-23,USA
47,2023-12-10,USA
48,2023-05-16,UK
49,2023-03-22,UK
50,2023-10-16,UK
51,2023-09-18,Canada
52,2023-08-19,Canada
53,2023-02-10,Germany
54,2023-05-15,USA
55,2023-11-24,Germany
56,2023-02-02,India
57,2023-04-09,Germany
58,2023-12-26,UK
59,2023-02-04,USA
60,2023-08-15,India
61,2023-05-11,USA
62,2023-01-05,Canada
63,2023-09-12,UK
64,2023-07-26,Canada
65,2023-02-11,Germany
66,2023-06-28,USA
67,2023-02-21,India
68,2023-04-06,Germany
69,2023-08-10,India
70,2023-08-19,India
71,2023-05-23,UK
72,2023-01-29,Germany
73,2023-01-13,UK
74,2023-08-31,Germany
75,2023-03-07,Canada
76,2023-02-14,USA
77,2023-05-14,Germany
78,2023-01-28,Germany
79,2023-02-13,Germany
80,2023-10-13,UK
81,2023-05-08,Canada
82,2023-12-14,USA
83,2023-08-19,USA
84,2023-10-10,USA
85,2023-04-26,India
86,2023-08-21,UK
87,2023-12-25,UK
88,2023-05-17,India
89,2023-08-13,UK
90,2023-08-22,Germany
91,2023-06-01,UK
92,2023-06-09,USA
93,2023-06-29,USA
94,2023-11-14,USA
95,2023-02-21,Germany
96,2023-10-22,Canada
97,2023-04-23,India
98,2023-04-23,USA
99,2023-07-06,USA
100,2023-01-02,Canada
101,2023-08-08,India
102,2023-08-12,USA
103,2023-05-06,Canada
104,2023-02-22,Germany
105,2023-08-06,Germany
106,2023-07-22,UK
107,2023-09-12,India
108,2023-04-08,UK
109,2023-08-28,USA
110,2023-07-20,Germany
111,2023-07-06,India
112,2023-09-16,Germany
113,2023-09-09,UK
114,2023-12-12,UK
115,2023-05-27,Germany
116,2023-12-18,Germany
117,2023-05-08,Canada
118,2023-12-26,USA
119,2023-09-24,Germany
120,2023-05-31,Canada
121,2023-04-09,Germany
122,2023-05-24,Canada
123,2023-04-22,USA
124,2023-03-01,USA
125,2023-01-02,USA
126,2023-10-31,Germany
127,2023-02-06,UK
128,2023-01-09,USA
129,2023-04-09,UK
130,2023-10-31,UK
131,2023-06-01,USA
132,2023-04-26,UK
133,2023-04-23,Germany
134,2023-04-14,Germany
135,2023-09-11,UK
136,2023-04-22,USA
137,2023-04-09,USA
138,2023-12-15,Canada
139,2023-12-04,Canada
140,2023-11-06,UK
141,2023-07-27,India
142,2023-06-18,Germany
143,2023-06-10,Germany
144,2023-10-16,India
145,2023-10-31,Germany
146,2023-05-15,UK
147,2023-05-08,USA
148,2023-06-25,Germany
149,2023-01-22,India
150,2023-02-20,UK
151,2023-01-27,Canada
152,2023-10-04,USA
153,2023-10-11,USA
154,2023-11-13,UK
155,2023-01-04,UK
156,2023-07-11,USA
157,2023-01-17,Germany
158,2023-08-08,India
159,2023-02-15,India
160,2023-01-06,UK
161,2023-08-21,India
162,2023-10-07,India
163,2023-10-29,India
164,2023-04-05,UK
165,2023-07-07,USA
166,2023-04-26,India
167,2023-06-10,UK
168,2023-05-08,Canada
169,2023-10-08,Canada
170,2023-08-11,Canada
171,2023-11-19,Canada
172,2023-10-15,Canada
173,2023-05-07,UK
174,2023-09-30,USA
175,2023-10-26,India
176,2023-06-19,Canada
177,2023-12-21,Canada
178,2023-01-13,Germany
179,2023-11-09,Germany
180,2023-06-22,Germany
181,2023-11-17,Germany
182,2023-05-23,Germany
183,2023-12-20,Canada
184,2023-10-15,UK
185,2023-06-02,Canada
186,2023-03-04,India
187,2023-05-30,Canada
188,2023-02-27,USA
189,2023-06-29,Canada
190,2023-11-22,UK
191,2023-04-11,USA
192,2023-09-21,India
193,2023-03-01,Germany
194,2023-04-18,India
195,2023-04-13,Germany
196,2023-09-19,India
197,2023-12-16,UK
198,2023-11-07,Germany
199,2023-05-24,India
200,2023-05-04,Canada
201,2023-06-07,UK
202,2023-05-25,UK
203,2023-04-02,Canada
204,2023-12-12,India
205,2023-04-27,USA
206,2023-05-09,Canada
207,2023-05-02,USA
208,2023-08-27,Canada
209,2023-04-06,USA
210,2023-08-25,India
211,2023-09-29,India
212,2023-07-11,India
213,2023-10-05,India
214,2023-09-04,UK
215,2023-03-17,Canada
216,2023-05-24,UK
217,2023-03-27,USA
218,2023-10-12,Germany
219,2023-03-10,USA
220,2023-04-04,Germany
221,2023-07-23,Canada
222,2023-12-07,Germany
223,2023-10-16,India
224,2023-01-23,Canada
225,2023-01-10,India
226,2023-04-10,Canada
227,2023-06-29,Canada
228,2023-09-07,UK
229,2023-04-06,USA
230,2023-11-21,India
231,2023-01-04,Canada
232,2023-06-09,UK
233,2023-12-06,Germany
234,2023-06-27,UK
235,2023-02-02,USA
236,2023-06-28,UK
237,2023-04-11,Germany
238,2023-11-19,USA
239,2023-06-17,Canada
240,2023-02-12,Germany
241,2023-10-12,India
242,2023-01-12,Canada
243,2023-09-10,UK
244,2023-08-30,UK
245,2023-08-03,USA
246,2023-03-31,India
247,2023-03-31,Canada
248,2023-04-25,USA
249,2023-07-15,Canada
250,2023-04-24,India
251,2023-03-16,India
252,2023-08-05,India
253,2023-09-06,Germany
254,2023-12-23,USA
255,2023-07-11,UK
256,2023-06-26,UK
257,2023-02-05,Canada
258,2023-04-06,India
259,2023-09-25,USA
260,2023-07-02,India
261,2023-10-06,USA
262,2023-12-21,USA
263,2023-10-13,USA
264,2023-03-03,Germany
265,2023-08-05,India
266,2023-07-06,UK
267,2023-06-26,Germany
268,2023-08-21,UK
269,2023-03-17,USA
270,2023-10-11,Germany
271,2023-12-05,Canada
272,2023-05-24,India
273,2023-03-10,UK
274,2023-01-25,Germany
275,2023-02-22,USA
276,2023-02-08,India
277,2023-06-30,Canada
278,2023-07-05,Canada
279,2023-05-13,UK
280,2023-08-03,India
281,2023-08-23,UK
282,2023-05-26,Germany
283,2023-01-09,Canada
284,2023-09-10,India
285,2023-06-17,Canada
286,2023-10-10,Canada
287,2023-07-13,India
288,2023-01-29,India
289,2023-12-05,India
290,2023-11-17,Germany
291,2023-05-25,USA
292,2023-10-28,Germany
293,2023-10-19,Germany
294,2023-10-02,India
295,2023-12-30,UK
296,2023-07-21,Canada
297,2023-01-19,UK
298,2023-06-22,India
299,2023-08-30,Germany
300,2023-05-06,Canada
301,2023-05-28,Germany
302,2023-11-13,USA
303,2023-01-01,UK
304,2023-12-14,USA
305,2023-07-10,Germany
306,2023-11-08,USA
307,2023-04-27,Canada
308,2023-02-13,India
309,2023-06-09,India
310,2023-11-13,India
311,2023-03-21,India
312,2023-07-22,Germany
313,2023-08-17,Germany
314,2023-08-15,UK
315,2023-01-20,USA
316,2023-02-16,USA
317,2023-11-01,USA
318,2023-02-23,UK
319,2023-05-24,USA
320,2023-01-12,Canada
321,2023-08-12,Germany
322,2023-06-05,India
323,2023-01-08,Canada
324,2023-12-14,Germany
325,2023-03-31,Canada
326,2023-11-12,Canada
327,2023-01-28,Germany
328,2023-12-23,USA
329,2023-08-16,UK
330,2023-05-25,USA
331,2023-07-31,India
332,2023-08-08,India
333,2023-02-15,UK
334,2023-09-10,Canada
335,2023-09-13,India
336,2023-10-30,USA
337,2023-01-10,Canada
338,2023-09-08,India
339,2023-01-05,USA
340,2023-03-06,Canada
341,2023-08-12,USA
342,2023-09-24,India
343,2023-10-09,USA
344,2023-12-08,UK
345,2023-10-10,USA
346,2023-04-08,USA
347,2023-04-09,USA
348,2023-11-07,Germany
349,2023-07-16,India
350,2023-12-24,UK
351,2023-01-23,India
352,2023-02-22,India
353,2023-07-21,Canada
354,2023-03-24,USA
355,2023-03-26,USA
356,2023-01-01,UK
357,2023-06-22,India
358,2023-09-17,USA
359,2023-10-15,Canada
360,2023-12-14,Canada
361,2023-09-07,Canada
362,2023-04-28,UK
363,2023-11-02,Germany
364,2023-02-23,Germany
365,2023-08-10,UK
366,2023-11-09,USA
367,2023-04-22,India
368,2023-12-07,Canada
369,2023-03-16,UK
370,2023-04-13,Germany
371,2023-08-14,Canada
372,2023-04-08,Canada
373,2023-10-13,UK
374,2023-11-04,USA
375,2023-06-15,USA
376,2023-12-01,Germany
377,2023-01-30,Canada
378,2023-02-20,USA
379,2023-05-13,India
380,2023-05-18,USA
381,2023-11-26,USA
382,2023-12-06,India
383,2023-02-03,India
384,2023-07-24,UK
385,2023-02-12,UK
386,2023-04-21,USA
387,2023-05-31,UK
388,2023-01-08,Germany
389,2023-12-26,Germany
390,2023-07-03,USA
391,2023-07-14,UK
392,2023-06-04,India
393,2023-06-09,Canada
394,2023-03-02,Canada
395,2023-02-20,UK
396,2023-10-04,India
397,2023-04-02,Canada
398,2023-11-13,India
399,2023-11-22,USA
400,2023-05-13,USA
401,2023-01-12,Canada
402,2023-02-15,Canada
403,2023-03-19,Canada
404,2023-10-28,UK
405,2023-03-14,Canada
406,2023-09-06,USA
407,2023-08-02,UK
408,2023-11-15,India
409,2023-12-03,Canada
410,2023-10-19,USA
411,2023-01-08,USA
412,2023-12-21,India
413,2023-06-29,Canada
414,2023-01-28,Canada
415,2023-12-31,Canada
416,2023-01-14,UK
417,2023-11-08,UK
418,2023-01-07,UK
419,2023-04-21,UK
420,2023-08-27,Germany
421,2023-10-01,Canada
422,2023-10-21,UK
423,2023-01-15,USA
424,2023-04-29,India
425,2023-01-28,Canada
426,2023-02-08,USA
427,2023-09-30,Canada
428,2023-05-06,Germany
429,2023-01-25,USA
430,2023-01-13,Germany
431,2023-01-25,Germany
432,2023-03-08,USA
433,2023-04-19,Canada
434,2023-04-21,Germany
435,2023-04-21,Canada
436,2023-04-21,USA
437,2023-08-24,UK
438,2023-02-11,USA
439,2023-04-11,Germany
440,2023-10-09,Canada
441,2023-11-11,India
442,2023-08-17,USA
443,2023-10-16,India
444,2023-05-30,India
445,2023-07-17,Germany
446,2023-12-16,UK
447,2023-11-14,USA
448,2023-09-04,UK
449,2023-08-31,India
450,2023-02-05,Canada
451,2023-08-08,UK
452,2023-01-04,USA
453,2023-04-04,UK
454,2023-03-03,USA
455,2023-07-13,UK
456,2023-01-26,UK
457,2023-06-22,Germany
458,2023-05-13,Canada
459,2023-04-28,Germany
460,2023-10-02,Germany
461,2023-08-13,Germany
462,2023-04-23,Germany
463,2023-02-16,USA
464,2023-03-31,India
465,2023-05-19,Germany
466,2023-11-29,UK
467,2023-09-16,USA
468,2023-06-27,Canada
469,2023-09-18,Canada
470,2023-06-21,Canada
471,2023-01-13,Canada
472,2023-03-25,USA
473,2023-11-15,India
474,2023-11-25,USA
475,2023-09-22,UK
476,2023-02-07,UK
477,2023-04-04,USA
478,2023-03-10,Germany
479,2023-08-24,Canada
480,2023-11-30,India
481,2023-05-17,Canada
482,2023-03-17,UK
483,2023-02-04,USA
484,2023-10-23,Germany
485,2023-11-16,India
486,2023-11-24,UK
487,2023-12-27,India
488,2023-09-27,Germany
489,2023-10-13,UK
490,2023-08-01,India
491,2023-01-05,UK
492,2023-03-19,Canada
493,2023-03-03,Germany
494,2023-03-30,India
495,2023-02-11,USA
496,2023-10-23,UK
497,2023-05-05,USA
498,2023-01-23,USA
499,2023-06-02,USA
500,2023-08-13,Canada
