order_id,customer_id,order_date
1,394,2024-01-27
2,370,2024-11-21
3,49,2024-02-05
4,46,2023-02-15
5,72,2024-08-14
6,258,2023-04-02
7,354,2024-12-14
8,392,2023-08-30
9,182,2023-01-02
10,283,2024-08-11
11,39,2023-04-13
12,67,2023-03-31
13,350,2023-05-23
14,106,2024-03-03
15,49,2023-11-13
16,359,2023-01-09
17,465,2023-12-25
18,317,2024-07-06
19,360,2023-09-21
20,469,2023-11-14
21,395,2023-04-21
22,409,2023-01-07
23,335,2023-07-27
24,289,2023-11-10
25,395,2024-05-29
26,24,2024-11-30
27,374,2023-01-12
28,141,2024-06-20
29,436,2023-05-02
30,182,2023-12-22
31,378,2024-09-22
32,241,2023-10-15
33,270,2024-08-16
34,14,2024-12-23
35,126,2023-12-18
36,285,2023-02-28
37,333,2024-12-14
38,231,2024-03-20
39,36,2023-07-26
40,146,2023-11-28
41,89,2024-12-25
42,372,2023-01-24
43,240,2024-05-30
44,375,2024-01-17
45,491,2023-06-01
46,286,2024-08-30
47,308,2023-09-07
48,371,2024-05-26
49,315,2023-12-01
50,449,2023-10-22
51,156,2024-01-06
52,160,2024-09-28
53,116,2023-08-25
54,252,2023-01-21
55,374,2024-06-03
56,231,2024-04-22
57,94,2024-06-09
58,479,2024-01-10
59,234,2024-07-06
60,141,2024-01-16
61,246,2024-05-18
62,304,2023-03-25
63,311,2023-05-25
64,225,2023-01-28
65,146,2023-08-17
66,7,2024-03-24
67,389,2024-11-06
68,478,2023-10-30
69,134,2023-01-10
70,36,2023-09-27
71,184,2024-08-27
72,190,2023-12-27
73,240,2023-10-03
74,308,2024-05-27
75,145,2023-10-11
76,22,2024-11-17
77,336,2023-06-14
78,395,2024-09-23
79,407,2023-06-05
80,432,2024-09-11
81,285,2023-11-30
82,29,2024-05-25
83,131,2023-10-09
84,24,2023-04-29
85,124,2024-04-29
86,465,2023-06-10
87,274,2023-07-25
88,350,2023-10-03
89,490,2023-08-04
90,350,2023-05-06
91,470,2023-11-02
92,479,2023-02-08
93,251,2024-05-09
94,281,2024-03-03
95,283,2023-05-31
96,18,2023-11-04
97,357,2024-01-10
98,80,2023-12-07
99,42,2024-10-30
100,244,2024-05-31
101,474,2023-06-24
102,351,2023-11-07
103,484,2024-03-02
104,349,2023-04-24
105,139,2024-06-21
106,434,2024-08-10
107,54,2023-12-11
108,350,2023-01-01
109,120,2024-10-15
110,227,2023-03-10
111,303,2023-08-08
112,78,2024-12-04
113,26,2024-08-07
114,434,2023-03-30
115,435,2024-08-07
116,42,2023-06-08
117,376,2023-11-20
118,333,2023-04-12
119,182,2024-09-05
120,243,2024-04-26
121,386,2023-10-06
122,241,2023-11-27
123,218,2024-03-30
124,6,2024-10-16
125,327,2024-12-11
126,293,2024-08-27
127,247,2023-11-01
128,288,2023-10-18
129,126,2023-09-24
130,313,2024-09-13
131,331,2023-01-03
132,285,2023-11-24
133,281,2024-03-29
134,454,2023-08-09
135,194,2023-01-12
136,76,2023-10-31
137,305,2023-10-27
138,255,2023-02-12
139,386,2023-11-22
140,379,2023-12-30
141,471,2023-01-21
142,102,2023-12-02
143,332,2023-05-04
144,471,2024-12-15
145,219,2023-11-20
146,465,2024-04-14
147,101,2023-11-30
148,260,2024-01-08
149,161,2024-06-22
150,460,2023-06-05
151,284,2023-05-24
152,40,2024-10-31
153,366,2024-08-11
154,234,2023-12-11
155,281,2023-09-20
