product_id,category
1,Clothing
2,Electronics
3,Sports
4,Sports
5,Home
6,Home
7,Home
8,Clothing
9,Clothing
10,Home
11,Home
12,Home
13,Sports
14,Clothing
15,Sports
16,Sports
17,Home
18,Home
19,Electronics
20,Electronics
21,Sports
22,Clothing
23,Home
24,Home
25,Sports
26,Electronics
27,Clothing
28,Electronics
29,Electronics
30,Electronics
31,Electronics
32,Home
33,Home
34,Electronics
35,Clothing
36,Sports
37,Clothing
38,Clothing
39,Clothing
40,Electronics
41,Home
42,Clothing
43,Electronics
44,Clothing
45,Clothing
46,Electronics
47,Home
48,Home
49,Sports
50,Electronics
